video_id	caption	start	end	duration	phase	idx
v_fzp5ooc727c	Lastly,the screen flashes to a black screen and the words The End are shown	137.94	148.32	148.32	train	39
v_LNKdVrX_0Fg	A woman wearing overalls is talking to the camera	0.0	22.67	226.72	train	40
v_LNKdVrX_0Fg	She lays out wrapping paper, showing how to wrap a toy in it	22.67	179.11	226.72	train	41
v_LNKdVrX_0Fg	She wraps it around the toy, then tapes it up	182.51	226.72	226.72	train	42
v_t0ajvfx6dgA	A man in a suit is sitting behind a desk	0.0	10.31	147.26	train	43
v_t0ajvfx6dgA	People are playing lacrosse on a field of grass	17.67	137.69	147.26	train	44
v_t0ajvfx6dgA	A person in a yellow uniform is standing in front of a net blocking balls	120.02	125.17	147.26	train	45
v_IoiDAHNryTk	A girl is seen climbing across a set of monkey bars followed by her waving to the camera	0.0	19.29	47.04	train	46
v_IoiDAHNryTk	She climbs her way back on the bars and jumps down mid way through	19.99	47.04	47.04	train	47
v__yWADgOFxP0	A camera pans over a snowy area and leads into a man standing on a snowboard and riding down a mountain	0.0	75.09	238.38	train	48
v__yWADgOFxP0	The man zooms in on himself riding down the hill and ends with him turning off the camera	75.09	238.38	238.38	train	49
v_XD3yFrJHiv8	A man and woman are sitting on red couches with sports jerseys hanging on the wall and a blue screen on the wall behind them in the middle of them	0.0	157.32	157.32	train	50
v_XD3yFrJHiv8	The woman picks up a clipboard next to her and smooths out the papers that are on top of it while smiling, crosses her legs and sits back	0.0	16.52	157.32	train	51
v_XD3yFrJHiv8	The man is talking this whole time while the woman gets comfortable on her couch and the woman briefly talks	0.0	29.89	157.32	train	52
v_XD3yFrJHiv8	Various clips begin to play and it briefly shows parts of a city, then most of it is of men outdoors and playing soccer on sand in a middle of city, and occasionally blue words pop up on the screen when certain plays in the game are made	29.89	152.6	157.32	train	53
v_XD3yFrJHiv8	When the clips end the man and woman on the couch begin talking and she puts her clipboard down	152.6	157.32	157.32	train	54
v_6lYTHj9vImo	Four kids are outside in the beach playing in the sand,two boys on the left and two girls on the right	0.0	15.33	60.12	train	55
v_6lYTHj9vImo	The girls have about six sand castles and a large circle surrounding it filled with water	15.93	34.27	60.12	train	56
v_6lYTHj9vImo	They then take off running to the beach to grab more water as the boy comes and looks at their work	34.57	49.6	60.12	train	57
v_6lYTHj9vImo	Once they are done,both of the girls take off running to the water but then stop midway to come back and get their floats	49.0	60.12	60.12	train	58
v_E3QtX6r9QX0	A large pile of leaves are seen being blown around with shots of a blower being shown	0.0	36.18	103.37	train	59
v_E3QtX6r9QX0	the leaves continue to be shown blowing around as well as a machine sitting off in the distance	19.12	103.37	103.37	train	60
v_iYxj8a1TPYk	A basketball player is seen dribbling a ball in various shots for the camera and leads into the player making baskets over and over again	0.0	84.21	157.41	train	61
v_iYxj8a1TPYk	The man is then seen speaking to the camera and transitions into him scoring several more baskets	83.43	157.41	157.41	train	62
v_cp52LdlmlUk	People are standing in a room working out	0.0	129.96	129.96	train	63
v_cp52LdlmlUk	They are stepping up and down on small stepping stools	5.2	129.96	129.96	train	64
v_cp52LdlmlUk	They continue working out in the room	17.55	129.96	129.96	train	65
v_bpg2PC2neQM	A black and white video is being played of people playing lacrosse on a field	0.0	32.8	218.7	train	66
v_bpg2PC2neQM	It then turns back to color and splits into multiple frames and speeds	38.27	83.11	218.7	train	67
v_bpg2PC2neQM	The video includes numerous clips of players in lacrosse games, hitting the ball toward opposing goals	88.57	218.7	218.7	train	68
v_RgzbNJPchqc	A man is playing the bagpipes in front of people	0.0	69.24	69.24	train	69
v_RgzbNJPchqc	The people on the couch in front of him start laughing	38.08	60.59	69.24	train	70
v__zHSfEhEqkU	A man is seen padding a canoe along the water while the camera captures him from several angles	0.0	64.14	194.35	train	71
v__zHSfEhEqkU	The man continues riding around followed by performing several ways to turn the canoe around	55.39	194.35	194.35	train	72
v_dAjhBWalWRM	A group of people stand in front of a blackjack table	0.0	32.09	32.09	train	73
v_dAjhBWalWRM	The blackjack attendant places cards on the table	0.8	30.81	32.09	train	74
v_zihMznAYlV0	Two men in padded sumo costumes are pulled along a tug rope on a ski slope	1.46	4.73	72.8	train	75
v_zihMznAYlV0	Two men in yellow padded sumo costumes do jumps on their snowboard on a downhill course	6.19	72.8	72.8	train	76
v_zihMznAYlV0	A filmer waives to the camera	38.95	40.4	72.8	train	77
v_zihMznAYlV0	The man spins while sliding across a platform in the sumo suit	43.68	51.32	72.8	train	78
v_zihMznAYlV0	The two men give each other a high five	51.32	53.14	72.8	train	79
v_zihMznAYlV0	The man in sumo suit goes over a small triangular obstacle	56.05	58.6	72.8	train	80
v_zihMznAYlV0	A man on small skis crashes while trying to jump	58.6	61.15	72.8	train	81
v_zihMznAYlV0	The man jumps onto and slide across a platform while wearing a sumo suit	61.51	65.88	72.8	train	82
v_zihMznAYlV0	The man bounces over a low railing	66.24	67.34	72.8	train	83
v_---9CpRcKoU	A man was sitting inside a room	0.0	1.62	14.07	train	84
v_---9CpRcKoU	He is holding a bowl of noodles and broth	1.76	8.58	14.07	train	85
v_---9CpRcKoU	He is drinking the broth from a bowl	8.87	14.07	14.07	train	86
v_epqnpUCVLK8	A little boy is laying on an exercise ball	0.0	5.07	63.32	train	87
v_epqnpUCVLK8	The boy falls of and gets back on the ball before he falls off again	5.07	13.61	63.32	train	88
v_epqnpUCVLK8	He tries to sit on the ball but the ball rolls away	13.61	24.38	63.32	train	89
v_epqnpUCVLK8	He retrieves it and continues to sit on and fall off the ball	30.08	61.74	63.32	train	90
v_GFE2wAi9fjo	A woman puts a pair of shoes on while sitting in an office chair	0.0	17.15	17.15	train	91
v_GFE2wAi9fjo	The woman buckles her shoes	6.6	17.15	17.15	train	92
v_W19-fYOO9sg	A close up of a bike wheel is seen that leads into a person's hands pushing on the tire	0.0	32.88	98.15	train	93
v_W19-fYOO9sg	The person uses a tool along the tire to help move it along	30.92	72.63	98.15	train	94
v_W19-fYOO9sg	The person finally pushes the tire along it's sides	65.76	95.7	98.15	train	95
v_m22TDwfa8go	A woman is seen talking to the camera and presenting various liquids to the camera	0.0	23.9	183.86	train	96
v_m22TDwfa8go	She ready's the tip of a glass and dips the glass into sugar on a plate	23.9	52.4	183.86	train	97
v_m22TDwfa8go	She pours various liquids into a mixer and shakes the mixture all together	54.24	136.05	183.86	train	98
v_m22TDwfa8go	She pours the drink out into the glass while still speaking to the camera	136.05	183.86	183.86	train	99
v_V_Nj_BhesEY	Three people stand by the corner of a building	0.0	13.72	83.15	train	100
v_V_Nj_BhesEY	One of the persons, a young boy, takes a bow	14.14	17.05	83.15	train	101
v_V_Nj_BhesEY	A crowd of people watch him	0.0	83.15	83.15	train	102
v_V_Nj_BhesEY	He proceeds to perform various karate moves, such as bowing, cartwheels and flips	17.46	83.15	83.15	train	103
v_p9iE8iemCMs	A person is holding a flute	10.09	123.82	134.58	train	104
v_p9iE8iemCMs	The person shows a fingering for the second octave of the note	42.39	72.67	134.58	train	105
v_p9iE8iemCMs	The person shows the fingering on the third octave	74.02	89.5	134.58	train	106
v_p9iE8iemCMs	The woman talks directly to the camera	92.86	123.14	134.58	train	107
v_fN2DiOswmOA	The screen shows the title of preparing a Chilean Hulte salad dish	2.78	7.42	185.48	train	108
v_fN2DiOswmOA	A person is mixing salad ingredients in a large bowl	7.42	14.84	185.48	train	109
v_fN2DiOswmOA	There is information shown about Dr	14.84	22.26	185.48	train	110
v_fN2DiOswmOA	Rachel Collin's trip to Chile	22.26	28.75	185.48	train	111
v_fN2DiOswmOA	There are several people standing under a canopy at a food market	28.75	63.99	185.48	train	112
v_fN2DiOswmOA	Two customers make a purchase and give money to the seller and give the camera a thumbs up	63.99	95.52	185.48	train	113
v_fN2DiOswmOA	The chef is showing hulte placed on a kitchen counter	95.52	107.58	185.48	train	114
v_fN2DiOswmOA	The chef is slicing the hulte in circular bite size pieces	107.58	116.85	185.48	train	115
v_fN2DiOswmOA	A woman eats the cut pieces of hulte	116.85	134.47	185.48	train	116
v_fN2DiOswmOA	The chef chops some cilantro on the kitchen counter	134.47	143.75	185.48	train	117
v_fN2DiOswmOA	Then the chef places the ingredients in a salad bowl	143.75	154.88	185.48	train	118
v_fN2DiOswmOA	The finished product is shown on screen, followed by a group of people sitting together and enjoying the salad	154.88	166.01	185.48	train	119
v_fN2DiOswmOA	The end credits are displayed on the screen	166.01	185.48	185.48	train	120
v_37pwbUp8t1I	Hiphop dancers perform in front of a crowd	0.0	199.04	200.04	train	121
v_37pwbUp8t1I	They are all doing the same basic dance and having pictures taken of them	59.01	199.04	200.04	train	122
v_TmI9MxCDBMw	A murky river is shown next to a row of trees	0.0	32.63	191.94	train	123
v_TmI9MxCDBMw	A bunch of people on intertubes go by slowly	34.55	142.99	191.94	train	124
v_TmI9MxCDBMw	Then we see rapid waters as the tubers go over small falls	149.71	191.94	191.94	train	125
v_4x7HYKV8zkY	Three girls are on the beach talking	0.0	26.09	115.94	train	126
v_4x7HYKV8zkY	They do several flips on the beach	26.09	65.5	115.94	train	127
v_4x7HYKV8zkY	They lift one of the girls up for a stunt	62.03	71.3	115.94	train	128
v__Af_9cK5x4E	The camera pans above lush and green terrain over what looks like a mountain range	0.0	10.45	232.29	train	129
v__Af_9cK5x4E	A man is shown covered in sweat and then jumping across various hills performing stunts on a dirt bike	10.45	48.78	232.29	train	130
v__Af_9cK5x4E	He rotates and flips and performs all sorts of acrobatics	48.78	73.17	232.29	train	131
v__Af_9cK5x4E	He is highly skilled and jumping over everything	73.17	80.14	232.29	train	132
v__Af_9cK5x4E	The video then shows multiple men on dirt bikes jumping in various different places and shows the action from a variety of angles	80.14	173.06	232.29	train	133
v__Af_9cK5x4E	The men continue performing their stuns in various other landscapes	171.9	232.29	232.29	train	134
v_y5j9TqTy9Xw	A woman is walking along a track	0.0	7.62	44.84	train	135
v_y5j9TqTy9Xw	She takes off at a fast run	9.64	29.37	44.84	train	136
v_y5j9TqTy9Xw	She jumps over a bar and onto a mat	30.71	44.84	44.84	train	137
v_Kp7pUEKrb8Q	A person is slicing limes on a board	10.76	13.0	89.63	train	138
v_Kp7pUEKrb8Q	They put the limes and sugar into a blender	15.69	63.19	89.63	train	139
v_Kp7pUEKrb8Q	They strain the juice and pour it into a jar	64.98	66.33	89.63	train	140
v_Kp7pUEKrb8Q	They put a straw and a lime wedge on the rim of the glass	68.57	80.22	89.63	train	141
v_5lre5zbUV1Q	A child scrubs out the kitchen sink using a brush	0.0	33.6	77.23	train	142
v_5lre5zbUV1Q	The boy turns on the sink faucet	34.37	38.23	77.23	train	143
v_5lre5zbUV1Q	The child uses the faucet nozzle to rinse out the sink	36.68	69.51	77.23	train	144
v_5lre5zbUV1Q	The boy returns the sink nozzle to the faucet and turns off the water	69.89	73.37	77.23	train	145
v_huFuRGoZt9I	A dealer is shown laying out cards on a table while other people's hands are shown on the side	0.0	13.2	23.36	train	146
v_huFuRGoZt9I	The person then lays out cards while another person lays out their chips	13.78	23.36	23.36	train	147
v_RULNhPrXnfA	A man is shown standing in front of a blue background as many harmonicas are shown and he starts playing them	0.0	23.44	187.55	train	148
v_RULNhPrXnfA	He is then shown speaking into the camera and going into detail with regards to the products features	23.44	33.76	187.55	train	149
v_RULNhPrXnfA	He shows off how many he has in his coat and continues talking	32.82	45.95	187.55	train	150
v_RULNhPrXnfA	He is then shown playing another harmonica as he gives instruction on it	45.95	151.91	187.55	train	151
v_RULNhPrXnfA	"He speaks some more and shows his harmonica again as the video goes to an end title screen that reads Howcast original"""	150.98	187.55	187.55	train	152
v_Zd22n1caVgM	A boy wearing white shorts is standing in a room	0.0	31.51	32.49	train	153
v_Zd22n1caVgM	He puts something in his mouth	7.15	7.8	32.49	train	154
v_Zd22n1caVgM	He kicks his legs up to the side	15.59	16.57	32.49	train	155
v_Zd22n1caVgM	The kneels down onto the ground	21.12	26.64	32.49	train	156
v_ZKP5J7OKEvI	A small group of people are seen sitting on the side and lead into two people dancing together	0.0	119.04	173.78	train	157
v_ZKP5J7OKEvI	The people continue dancing along the floor and end by clapping with the band	53.87	169.43	173.78	train	158
v_44BfVJnhBgc	A runner tests a prosthetic leg in a long distance run	0.0	159.73	169.92000000000002	train	159
v_44BfVJnhBgc	He runs inside then runs outside	65.42	159.73	169.92000000000002	train	160
v_VFOjLDa5VtA	A small group of people are seen wandering around a tennis court hitting a ball over the net	0.0	14.63	48.76	train	161
v_VFOjLDa5VtA	The people hit the ball back and fourth while others watch on the side	14.87	37.06	48.76	train	162
v_VFOjLDa5VtA	They continue to play the game as well as others	29.5	47.54	48.76	train	163
v_LFeoVokXAFY	A man uses a large plastic blue bat	0.0	8.47	58.42	train	164
v_LFeoVokXAFY	He swings it at a pinata shaped like spongebob squarepants	11.98	50.54	58.42	train	165
v_LFeoVokXAFY	He misses several times, and keeps swinging	52.58	58.42	58.42	train	166
v_HxJnPUqF9i8	Athletes throw a javelin during a competition	8.47	12.71	121.05	train	167
v_HxJnPUqF9i8	A man practices his throwing stance walking and doing half throws without javeline	13.92	37.52	121.05	train	168
v_HxJnPUqF9i8	A man practices his throwing stance walking and doing half throws holding a javeline	38.13	54.47	121.05	train	169
v_HxJnPUqF9i8	The man swings a hammer	56.29	61.13	121.05	train	170
v_HxJnPUqF9i8	The man throws a weighted ball	67.18	75.05	121.05	train	171
v_HxJnPUqF9i8	Athletes train in a gym doing throwing motions on weighted cable machines	89.57	113.18	121.05	train	172
v_FKl0077EUoY	We see a person sharpen a knife on a sanding disc	0.0	20.24	57.02	train	173
v_FKl0077EUoY	The person touches it and turns it off	7.41	15.11	57.02	train	174
v_FKl0077EUoY	The person turns it on and then off off	16.25	30.51	57.02	train	175
v_FKl0077EUoY	We see the man talking to the camera	32.79	57.02	57.02	train	176
v_Y_dtU10XIsg	A close up of a crack is seen	0.0	5.62	66.06	train	177
v_Y_dtU10XIsg	A woman is outside, shoveling snow	6.94	42.61	66.06	train	178
v_Y_dtU10XIsg	A dog wags his tail as he tries to help	46.57	66.06	66.06	train	179
v_x4iCAIPRDVQ	People exercise on fitness machines while people sits on front and watch	0.0	23.38	23.38	train	180
v_x4iCAIPRDVQ	A man pass on front holding a jacket and stand next a TV	11.69	21.63	23.38	train	181
v_x4iCAIPRDVQ	A group of woman walk on front people exercising	21.63	23.38	23.38	train	182
v_NwfS7eZiMLg	A man is playing the bagpipes at the bottom of the stairs in the living room of a house, wearing a button up and dress pants, along with socks	0.0	99.02	134.72	train	183
v_NwfS7eZiMLg	He begins to tap his foot along with the beat of his tune, He starts to tap his left foot in a back and forth rhythm with his right foot	99.69	132.7	134.72	train	184
v_NwfS7eZiMLg	He finishes, and smiles at the camera	133.37	134.72	134.72	train	185
v_aJbl1eVBzk0	People are working in a bike shop fixing a bike	0.0	187.83	187.83	train	186
v_aJbl1eVBzk0	They put the wheels back onto the bike	122.09	129.6	187.83	train	187
v_aJbl1eVBzk0	The put the seat on the bike	143.69	146.51	187.83	train	188
v_aJbl1eVBzk0	The bike is put together on the floor	167.17	169.98	187.83	train	189
v_UYHgieL5IKM	A man is giving advice on outdoor activities, specifically mushrooming and closeup is shown and the man talks about it	0.0	90.74	185.18	train	190
v_UYHgieL5IKM	The man cuts one open and then cuts it in half	52.78	141.66	185.18	train	191
v_UYHgieL5IKM	Another man talks about the experience	157.4	181.48	185.18	train	192
v_f0CViWbj3V4	A man and woman are seated on a porch	0.0	1.38	27.63	train	193
v_f0CViWbj3V4	The man plays bongo drums while the woman helps occasionally	1.93	20.59	27.63	train	194
v_f0CViWbj3V4	Another hand is seen banging a drum in the foreground	21.41	27.63	27.63	train	195
v_h8J08sJ2no0	A person walks on the roof of a climbing equipment, then he goes down the wall and reach the floor and walk forward	0.0	24.8	45.51	train	196
v_h8J08sJ2no0	The man stand with the hands on the border on the equipment and descend down the walk with the hands, then he walk on hands sideward	24.8	40.96	45.51	train	197
v_g0XO-rWHmzs	A woman is seen holding two dogs on a leash and proceeds to unhook them and let them go	0.74	44.39	73.98	train	198
v_g0XO-rWHmzs	One down then does his business into a bag tied to him and runs off behind bikes	35.51	71.39	73.98	train	199
v_rBaR5xF8orE	A large group of people are seen sitting around an auditorium with one man flying kites around in the middle	0.0	63.45	128.18	train	200
v_rBaR5xF8orE	The person continues moving around with the kites and walks away in the end with a woman speaking to the crowd	62.81	128.18	128.18	train	201
v_i2u80Y3BMYs	Two men in work out clothes are standing up against the wall and they begin to talk about working out	0.0	63.36	214.78	train	202
v_i2u80Y3BMYs	One man is then shown and he bends down and shows the proper way to lift the bar with weight on it	63.36	136.38	214.78	train	203
v_i2u80Y3BMYs	A replay is then shown and the boy bends from the knees and then flips his wrist and brings it over his shoulder as he goes down into a squatting position	135.31	214.78	214.78	train	204
v_WvxwmaDFGqk	A man is seen kneeling in a gym	0.0	1.32	11.49	train	205
v_WvxwmaDFGqk	He leans forward several times	1.78	7.36	11.49	train	206
v_WvxwmaDFGqk	He is performing slow stretching moves	7.82	11.49	11.49	train	207
v_xmag8UI8iws	A person is using a leaf blower to blow leaves into a pile	0.0	104.33	104.33	train	208
v_xmag8UI8iws	The leaves blow up onto a hedge	68.86	80.33	104.33	train	209
v_xmag8UI8iws	They walk in front of a tree	100.68	104.33	104.33	train	210
v_N9LTq3gYmsI	A group of people are sitting down at the top of a snow slide in a tube	0.0	14.04	35.55	train	211
v_N9LTq3gYmsI	The person holding the camera starts his journey and he is off down the slopes of snow	13.51	28.62	35.55	train	212
v_N9LTq3gYmsI	As he reaches the bottom,several black mats are placed in front of him to help slow him down	28.8	35.55	35.55	train	213
v_pZ8QqpYu-H8	A man is seated at a piano, playing and singing into a microphone	0.0	165.29	187.83	train	214
v_pZ8QqpYu-H8	When he finishes, he looks up and smiles	171.86	187.83	187.83	train	215
v_4hmJfJo6UI8	A female athlete runs quickly down a track	0.0	14.15	117.94	train	216
v_4hmJfJo6UI8	She plows into the sand before getting up and walking away	18.28	27.71	117.94	train	217
v_4hmJfJo6UI8	The scene is repeated three times before ending with her cheering and clapping	41.87	117.94	117.94	train	218
v_TEaugXCX1m4	A lighthouse is shown on the beach before we see a man running with a surf board	0.0	21.02	150.14	train	219
v_TEaugXCX1m4	The man rides a wave, then through it	26.27	110.35	150.14	train	220
v_TEaugXCX1m4	He completes several stunts before walking onto the beach with the board under his arm	111.1	150.14	150.14	train	221
v_9rW35YTKYq8	A man is shown flipping a violin in his hands, playing a popular song on his violin	14.22	36.73	236.98	train	222
v_9rW35YTKYq8	The camera shows the violinist from various angles playing the popular song and not breaking concentration	36.73	213.28	236.98	train	223
v_9rW35YTKYq8	The camera pans all around the player and shows him playing the complete song	94.79	213.28	236.98	train	224
v_hoisfXCLJDQ	A camera zooms in on a person riding in a tube	0.15	3.19	15.19	train	225
v_hoisfXCLJDQ	More people are seen riding in tubes behind the man	3.19	9.79	15.19	train	226
v_hoisfXCLJDQ	The people continue to ride around the area down the river	7.06	12.53	15.19	train	227
v_mnqSG5o84NE	A man train a boy kick box while two men watch sitting in the room	0.0	48.24	139.82999999999998	train	228
v_mnqSG5o84NE	Then, the man stands and kick the boy who kick back then kneels	48.94	62.22	139.82999999999998	train	229
v_mnqSG5o84NE	After, the man trains another child while showing movements	62.92	111.86	139.82999999999998	train	230
v_mnqSG5o84NE	After, the man stands to practice kicks, then the man lye down and and hug the child who continues practicing kick box	112.56	138.43	139.82999999999998	train	231
v_IWuiVS3-Z7k	People are shown walking along a beach	0.0	4.8	119.97	train	232
v_IWuiVS3-Z7k	Several people in paintball gear are running through an obstacle course	7.8	52.79	119.97	train	233
v_IWuiVS3-Z7k	The people shoot at each other, hiding behind the obstacles	56.38	103.77	119.97	train	234
v_IWuiVS3-Z7k	The winner dances and runs across the field	106.17	119.97	119.97	train	235
v_nvsK9ggeics	A young child is seen sitting behind a drum set playing the drums	1.1	37.36	73.26	train	236
v_nvsK9ggeics	The boy continues playing the instrument while the camera zooms in on him playing	30.04	71.79	73.26	train	237
v_rAuz_Pf3lp8	A family has a picnic, and goes tubing on inflatable rafts in a narrow body of water surrounded by trees, on a rainy day	3.5	167.04	174.92000000000002	train	238
v_rAuz_Pf3lp8	A family of people sit at an outdoor wooden picnic table, eating, waiving at the camera	3.5	11.37	174.92000000000002	train	239
v_rAuz_Pf3lp8	The family watch the weather outdoors as it begins to rain and a little girl runs out into the rain and dances in it	13.12	31.48	174.92000000000002	train	240
v_rAuz_Pf3lp8	The family then appears, floating, talking and smiling on inflatable tubes on a narrow body of water	38.48	154.8	174.92000000000002	train	241
v_rAuz_Pf3lp8	The event ends and the family leaves an area bordered by a wooden fence	155.68	174.92	174.92000000000002	train	242
v_pxb95-aSDYo	A man plays guitar and harmonica at the same time	4.22	11.81	168.75	train	243
v_pxb95-aSDYo	Then, the man sings while playing the guitar	12.66	64.97	168.75	train	244
v_pxb95-aSDYo	After, the man continues playing both the guitar and the harmonica, then sing	66.66	115.6	168.75	train	245
v_pxb95-aSDYo	Next, the man plays the harmonica and the guitar together	116.44	168.75	168.75	train	246
v_y7WO-8cQfO0	The video begins with a title sequence	0.0	4.79	191.73	train	247
v_y7WO-8cQfO0	A young man is shown in a gym performing tricks with a jump rope as music plays in the background	4.79	191.73	191.73	train	248
v_y7WO-8cQfO0	He then lays down and begins doing tricks on the floor	49.85	70.94	191.73	train	249
v_y7WO-8cQfO0	The young man gets up again and does more tricks while standing	70.94	191.73	191.73	train	250
v_y7WO-8cQfO0	At one point, his friends assist with the jump rope tricks	90.11	97.78	191.73	train	251
v_y7WO-8cQfO0	The video ends with credits showing the young man's name, along with the names of those who assisted him	156.26	191.73	191.73	train	252
v_74EoyLUbtgI	A lady is seen putting wax on a mans shoes	0.0	21.4	171.22	train	253
v_74EoyLUbtgI	We see the cloth hanging on the wall	21.4	29.96	171.22	train	254
v_74EoyLUbtgI	We see the footprints on the platform	34.24	42.81	171.22	train	255
v_74EoyLUbtgI	The woman rubs the mans shoes with a cloth	42.81	113.86	171.22	train	256
v_74EoyLUbtgI	We see the cloth on the wall, then the lines of cloth near the shoes shine sign	114.72	138.69	171.22	train	257
v_74EoyLUbtgI	A man is standing on a platform	141.26	146.4	171.22	train	258
v_74EoyLUbtgI	We see the holographic man on the wall with the paper	153.25	171.22	171.22	train	259
v_WY9zvUkK_4Y	Two girls stand between a girl in a hair salon stool and begin brushing her and parting her hair	4.07	54.97	203.59	train	260
v_WY9zvUkK_4Y	One woman braids her hair continuously to eventually create a french braid	53.95	184.25	203.59	train	261
v_WY9zvUkK_4Y	Both women stand talking to the camera while presenting the braid just made	184.25	192.39	203.59	train	262
v_N-6-MdxRg50	We see a colorful opening scene	0.0	5.38	134.49	train	263
v_N-6-MdxRg50	Kids in colorful clothes walk on a stage and get in place	4.71	12.78	134.49	train	264
v_N-6-MdxRg50	The kids perform zumba on a stage	13.45	128.44	134.49	train	265
v_N-6-MdxRg50	The girl second from left goes the wrong direction and almost runs into another girl	27.57	35.64	134.49	train	266
v_N-6-MdxRg50	We see an an ending screen	129.78	134.49	134.49	train	267
v_uFMDSiHu7g4	A man wearing a striped shirt dances with a girl in a brown blouse at a street festival	0.0	13.59	181.23	train	268
v_uFMDSiHu7g4	Other couple join in and dance in a street festival while performers play on a stage	13.59	141.36	181.23	train	269
v_uFMDSiHu7g4	Onlookers pass by while the group continues to dance	141.36	181.23	181.23	train	270
v_Pu92wJ-7UTQ	The man is strumming one drum	1.24	12.72	62.04	train	271
v_Pu92wJ-7UTQ	The man strum the other drum while moving his leg	11.48	31.02	62.04	train	272
v_Pu92wJ-7UTQ	The man play two drums at the same time	27.92	62.04	62.04	train	273
v_dsVvnFkGAn0	The woman is sitting by the fireplace holding a violin	0.0	13.66	82.8	train	274
v_dsVvnFkGAn0	The woman placed the violin between her neck and shoulder and began strumming the violin with the stick	12.01	68.31	82.8	train	275
v_dsVvnFkGAn0	The lady put the violin on her lap and talked	63.76	82.8	82.8	train	276
v_JgHQCKz_DRc	A man sits in a chair as he is getting his hair cut	3.12	88.44	104.05	train	277
